year,city,country,avg_temp
1938,Adelaide,Australia,16.17
1939,Adelaide,Australia,16.22
1940,Adelaide,Australia,15.99
1941,Adelaide,Australia,15.94
1942,Adelaide,Australia,16.30
1943,Adelaide,Australia,15.31
1944,Adelaide,Australia,15.83
1945,Adelaide,Australia,15.72
1946,Adelaide,Australia,15.43
1947,Adelaide,Australia,16.13
1948,Adelaide,Australia,15.61
1949,Adelaide,Australia,15.19
1950,Adelaide,Australia,16.19
1951,Adelaide,Australia,16.31
1952,Adelaide,Australia,15.22
1953,Adelaide,Australia,15.95
1954,Adelaide,Australia,15.82
1955,Adelaide,Australia,15.97
1956,Adelaide,Australia,15.55
1957,Adelaide,Australia,15.95
1958,Adelaide,Australia,15.55
1959,Adelaide,Australia,16.42
1960,Adelaide,Australia,15.58
1961,Adelaide,Australia,16.81
1962,Adelaide,Australia,16.30
1963,Adelaide,Australia,16.26
1964,Adelaide,Australia,15.50
1965,Adelaide,Australia,16.40
1966,Adelaide,Australia,15.87
1967,Adelaide,Australia,16.35
1968,Adelaide,Australia,16.12
1969,Adelaide,Australia,15.82
1970,Adelaide,Australia,15.67
1971,Adelaide,Australia,16.09
1972,Adelaide,Australia,16.30
1973,Adelaide,Australia,16.71
1974,Adelaide,Australia,16.25
1975,Adelaide,Australia,16.50
1976,Adelaide,Australia,15.97
1977,Adelaide,Australia,16.47
1978,Adelaide,Australia,15.89
1979,Adelaide,Australia,16.53
1980,Adelaide,Australia,16.81
1981,Adelaide,Australia,16.73
1982,Adelaide,Australia,16.83
1983,Adelaide,Australia,16.42
1984,Adelaide,Australia,15.98
1985,Adelaide,Australia,16.22
1986,Adelaide,Australia,15.96
1987,Adelaide,Australia,16.12
1988,Adelaide,Australia,16.88
1989,Adelaide,Australia,16.35
1990,Adelaide,Australia,16.80
1991,Adelaide,Australia,16.78
1992,Adelaide,Australia,15.78
1993,Adelaide,Australia,16.71
1994,Adelaide,Australia,16.43
1995,Adelaide,Australia,16.14
1996,Adelaide,Australia,16.12
1997,Adelaide,Australia,16.48
1998,Adelaide,Australia,16.28
1999,Adelaide,Australia,16.77
2000,Adelaide,Australia,17.08
2001,Adelaide,Australia,16.63
2002,Adelaide,Australia,16.63
2003,Adelaide,Australia,16.56
2004,Adelaide,Australia,16.64
2005,Adelaide,Australia,16.93
2006,Adelaide,Australia,16.75
2007,Adelaide,Australia,17.49
2008,Adelaide,Australia,16.70
2009,Adelaide,Australia,17.39
2010,Adelaide,Australia,16.72
2011,Adelaide,Australia,16.90
2012,Adelaide,Australia,16.84
2013,Adelaide,Australia,17.39
1743,Belfast,United Kingdom,8.45
1744,Belfast,United Kingdom,9.15
1745,Belfast,United Kingdom,4.51
1746,Belfast,United Kingdom,
1747,Belfast,United Kingdom,
1748,Belfast,United Kingdom,
1749,Belfast,United Kingdom,
1750,Belfast,United Kingdom,9.22
1751,Belfast,United Kingdom,8.71
1752,Belfast,United Kingdom,7.09
1753,Belfast,United Kingdom,8.60
1754,Belfast,United Kingdom,8.56
1755,Belfast,United Kingdom,8.26
1756,Belfast,United Kingdom,8.75
1757,Belfast,United Kingdom,8.75
1758,Belfast,United Kingdom,7.85
1759,Belfast,United Kingdom,8.84
1760,Belfast,United Kingdom,8.11
1761,Belfast,United Kingdom,8.99
1762,Belfast,United Kingdom,8.26
1763,Belfast,United Kingdom,7.97
1764,Belfast,United Kingdom,8.21
1765,Belfast,United Kingdom,7.97
1766,Belfast,United Kingdom,8.22
1767,Belfast,United Kingdom,8.30
1768,Belfast,United Kingdom,8.24
1769,Belfast,United Kingdom,8.32
1770,Belfast,United Kingdom,8.02
1771,Belfast,United Kingdom,8.03
1772,Belfast,United Kingdom,8.05
1773,Belfast,United Kingdom,8.25
1774,Belfast,United Kingdom,8.03
1775,Belfast,United Kingdom,9.00
1776,Belfast,United Kingdom,8.22
1777,Belfast,United Kingdom,8.44
1778,Belfast,United Kingdom,8.88
1779,Belfast,United Kingdom,9.85
1780,Belfast,United Kingdom,8.92
1781,Belfast,United Kingdom,9.55
1782,Belfast,United Kingdom,7.34
1783,Belfast,United Kingdom,8.60
1784,Belfast,United Kingdom,7.55
1785,Belfast,United Kingdom,8.12
1786,Belfast,United Kingdom,7.83
1787,Belfast,United Kingdom,8.87
1788,Belfast,United Kingdom,8.79
1789,Belfast,United Kingdom,8.89
1790,Belfast,United Kingdom,9.03
1791,Belfast,United Kingdom,8.89
1792,Belfast,United Kingdom,8.82
1793,Belfast,United Kingdom,8.74
1794,Belfast,United Kingdom,9.26
1795,Belfast,United Kingdom,8.36
1796,Belfast,United Kingdom,8.71
1797,Belfast,United Kingdom,8.73
1798,Belfast,United Kingdom,9.18
1799,Belfast,United Kingdom,7.48
1800,Belfast,United Kingdom,8.39
1801,Belfast,United Kingdom,8.88
1802,Belfast,United Kingdom,8.58
1803,Belfast,United Kingdom,8.43
1804,Belfast,United Kingdom,8.66
1805,Belfast,United Kingdom,8.45
1806,Belfast,United Kingdom,8.63
1807,Belfast,United Kingdom,7.90
1808,Belfast,United Kingdom,8.19
1809,Belfast,United Kingdom,8.06
1810,Belfast,United Kingdom,7.89
1811,Belfast,United Kingdom,8.70
1812,Belfast,United Kingdom,7.66
1813,Belfast,United Kingdom,8.38
1814,Belfast,United Kingdom,7.49
1815,Belfast,United Kingdom,8.17
1816,Belfast,United Kingdom,7.18
1817,Belfast,United Kingdom,7.99
1818,Belfast,United Kingdom,8.84
1819,Belfast,United Kingdom,8.42
1820,Belfast,United Kingdom,8.15
1821,Belfast,United Kingdom,8.97
1822,Belfast,United Kingdom,9.15
1823,Belfast,United Kingdom,7.87
1824,Belfast,United Kingdom,8.70
1825,Belfast,United Kingdom,9.12
1826,Belfast,United Kingdom,9.36
1827,Belfast,United Kingdom,8.70
1828,Belfast,United Kingdom,9.39
1829,Belfast,United Kingdom,7.77
1830,Belfast,United Kingdom,8.22
1831,Belfast,United Kingdom,9.11
1832,Belfast,United Kingdom,8.78
1833,Belfast,United Kingdom,8.52
1834,Belfast,United Kingdom,9.46
1835,Belfast,United Kingdom,8.58
1836,Belfast,United Kingdom,7.83
1837,Belfast,United Kingdom,8.10
1838,Belfast,United Kingdom,7.39
1839,Belfast,United Kingdom,8.01
1840,Belfast,United Kingdom,8.18
1841,Belfast,United Kingdom,8.17
1842,Belfast,United Kingdom,8.89
1843,Belfast,United Kingdom,8.59
1844,Belfast,United Kingdom,8.33
1845,Belfast,United Kingdom,8.09
1846,Belfast,United Kingdom,9.66
1847,Belfast,United Kingdom,8.71
1848,Belfast,United Kingdom,8.49
1849,Belfast,United Kingdom,8.46
1850,Belfast,United Kingdom,8.56
1851,Belfast,United Kingdom,8.60
1852,Belfast,United Kingdom,9.21
1853,Belfast,United Kingdom,8.17
1854,Belfast,United Kingdom,8.89
1855,Belfast,United Kingdom,7.78
1856,Belfast,United Kingdom,8.41
1857,Belfast,United Kingdom,9.52
1858,Belfast,United Kingdom,8.60
1859,Belfast,United Kingdom,8.60
1860,Belfast,United Kingdom,7.40
1861,Belfast,United Kingdom,8.66
1862,Belfast,United Kingdom,8.29
1863,Belfast,United Kingdom,8.79
1864,Belfast,United Kingdom,8.17
1865,Belfast,United Kingdom,8.89
1866,Belfast,United Kingdom,8.50
1867,Belfast,United Kingdom,8.38
1868,Belfast,United Kingdom,9.32
1869,Belfast,United Kingdom,8.75
1870,Belfast,United Kingdom,8.48
1871,Belfast,United Kingdom,8.64
1872,Belfast,United Kingdom,8.79
1873,Belfast,United Kingdom,8.44
1874,Belfast,United Kingdom,8.73
1875,Belfast,United Kingdom,8.87
1876,Belfast,United Kingdom,8.71
1877,Belfast,United Kingdom,8.33
1878,Belfast,United Kingdom,8.79
1879,Belfast,United Kingdom,7.19
1880,Belfast,United Kingdom,8.60
1881,Belfast,United Kingdom,7.74
1882,Belfast,United Kingdom,8.67
1883,Belfast,United Kingdom,8.35
1884,Belfast,United Kingdom,8.90
1885,Belfast,United Kingdom,7.88
1886,Belfast,United Kingdom,7.86
1887,Belfast,United Kingdom,8.17
1888,Belfast,United Kingdom,7.97
1889,Belfast,United Kingdom,8.65
1890,Belfast,United Kingdom,8.61
1891,Belfast,United Kingdom,8.23
1892,Belfast,United Kingdom,7.55
1893,Belfast,United Kingdom,9.24
1894,Belfast,United Kingdom,8.62
1895,Belfast,United Kingdom,8.00
1896,Belfast,United Kingdom,8.87
1897,Belfast,United Kingdom,8.65
1898,Belfast,United Kingdom,9.34
1899,Belfast,United Kingdom,9.01
1900,Belfast,United Kingdom,8.68
1901,Belfast,United Kingdom,8.67
1902,Belfast,United Kingdom,8.28
1903,Belfast,United Kingdom,8.45
1904,Belfast,United Kingdom,8.46
1905,Belfast,United Kingdom,8.74
1906,Belfast,United Kingdom,8.67
1907,Belfast,United Kingdom,8.31
1908,Belfast,United Kingdom,8.98
1909,Belfast,United Kingdom,8.15
1910,Belfast,United Kingdom,8.56
1911,Belfast,United Kingdom,9.11
1912,Belfast,United Kingdom,8.56
1913,Belfast,United Kingdom,8.95
1914,Belfast,United Kingdom,9.16
1915,Belfast,United Kingdom,8.25
1916,Belfast,United Kingdom,8.67
1917,Belfast,United Kingdom,8.17
1918,Belfast,United Kingdom,8.81
1919,Belfast,United Kingdom,8.04
1920,Belfast,United Kingdom,8.96
1921,Belfast,United Kingdom,9.70
1922,Belfast,United Kingdom,8.21
1923,Belfast,United Kingdom,8.43
1924,Belfast,United Kingdom,8.70
1925,Belfast,United Kingdom,8.55
1926,Belfast,United Kingdom,9.10
1927,Belfast,United Kingdom,8.56
1928,Belfast,United Kingdom,8.72
1929,Belfast,United Kingdom,8.56
1930,Belfast,United Kingdom,8.65
1931,Belfast,United Kingdom,8.58
1932,Belfast,United Kingdom,8.98
1933,Belfast,United Kingdom,9.39
1934,Belfast,United Kingdom,9.37
1935,Belfast,United Kingdom,8.95
1936,Belfast,United Kingdom,8.87
1937,Belfast,United Kingdom,8.79
1938,Belfast,United Kingdom,9.42
1939,Belfast,United Kingdom,9.15
1940,Belfast,United Kingdom,8.69
1941,Belfast,United Kingdom,8.50
1942,Belfast,United Kingdom,8.65
1943,Belfast,United Kingdom,9.41
1944,Belfast,United Kingdom,9.07
1945,Belfast,United Kingdom,9.74
1946,Belfast,United Kingdom,8.88
1947,Belfast,United Kingdom,8.73
1948,Belfast,United Kingdom,9.30
1949,Belfast,United Kingdom,9.83
1950,Belfast,United Kingdom,8.72
1951,Belfast,United Kingdom,8.53
1952,Belfast,United Kingdom,8.47
1953,Belfast,United Kingdom,9.56
1954,Belfast,United Kingdom,8.66
1955,Belfast,United Kingdom,8.85
1956,Belfast,United Kingdom,8.70
1957,Belfast,United Kingdom,9.35
1958,Belfast,United Kingdom,8.83
1959,Belfast,United Kingdom,9.75
1960,Belfast,United Kingdom,9.10
1961,Belfast,United Kingdom,9.07
1962,Belfast,United Kingdom,8.30
1963,Belfast,United Kingdom,8.10
1964,Belfast,United Kingdom,8.98
1965,Belfast,United Kingdom,8.28
1966,Belfast,United Kingdom,8.70
1967,Belfast,United Kingdom,8.97
1968,Belfast,United Kingdom,8.77
1969,Belfast,United Kingdom,8.57
1970,Belfast,United Kingdom,8.81
1971,Belfast,United Kingdom,9.43
1972,Belfast,United Kingdom,8.64
1973,Belfast,United Kingdom,8.87
1974,Belfast,United Kingdom,8.90
1975,Belfast,United Kingdom,9.36
1976,Belfast,United Kingdom,9.26
1977,Belfast,United Kingdom,8.76
1978,Belfast,United Kingdom,8.70
1979,Belfast,United Kingdom,7.94
1980,Belfast,United Kingdom,8.87
1981,Belfast,United Kingdom,8.64
1982,Belfast,United Kingdom,9.07
1983,Belfast,United Kingdom,9.25
1984,Belfast,United Kingdom,9.14
1985,Belfast,United Kingdom,8.30
1986,Belfast,United Kingdom,8.10
1987,Belfast,United Kingdom,8.53
1988,Belfast,United Kingdom,9.21
1989,Belfast,United Kingdom,9.46
1990,Belfast,United Kingdom,9.56
1991,Belfast,United Kingdom,9.11
1992,Belfast,United Kingdom,9.11
1993,Belfast,United Kingdom,8.75
1994,Belfast,United Kingdom,9.01
1995,Belfast,United Kingdom,9.52
1996,Belfast,United Kingdom,8.80
1997,Belfast,United Kingdom,9.94
1998,Belfast,United Kingdom,9.59
1999,Belfast,United Kingdom,9.67
2000,Belfast,United Kingdom,9.47
2001,Belfast,United Kingdom,9.25
2002,Belfast,United Kingdom,9.78
2003,Belfast,United Kingdom,9.91
2004,Belfast,United Kingdom,9.86
2005,Belfast,United Kingdom,9.90
2006,Belfast,United Kingdom,10.02
2007,Belfast,United Kingdom,10.11
2008,Belfast,United Kingdom,9.48
2009,Belfast,United Kingdom,9.59
2010,Belfast,United Kingdom,8.40
2011,Belfast,United Kingdom,9.82
2012,Belfast,United Kingdom,9.27
2013,Belfast,United Kingdom,8.76
1743,Birmingham,United Kingdom,7.07
1744,Birmingham,United Kingdom,9.80
1745,Birmingham,United Kingdom,4.05
1746,Birmingham,United Kingdom,
1747,Birmingham,United Kingdom,
1748,Birmingham,United Kingdom,
1749,Birmingham,United Kingdom,
1750,Birmingham,United Kingdom,9.73
1751,Birmingham,United Kingdom,9.51
1752,Birmingham,United Kingdom,6.26
1753,Birmingham,United Kingdom,8.97
1754,Birmingham,United Kingdom,8.82
1755,Birmingham,United Kingdom,8.54
1756,Birmingham,United Kingdom,8.98
1757,Birmingham,United Kingdom,8.92
1758,Birmingham,United Kingdom,8.29
1759,Birmingham,United Kingdom,9.26
1760,Birmingham,United Kingdom,8.69
1761,Birmingham,United Kingdom,9.23
1762,Birmingham,United Kingdom,8.60
1763,Birmingham,United Kingdom,8.29
1764,Birmingham,United Kingdom,8.64
1765,Birmingham,United Kingdom,8.47
1766,Birmingham,United Kingdom,8.58
1767,Birmingham,United Kingdom,8.62
1768,Birmingham,United Kingdom,8.66
1769,Birmingham,United Kingdom,8.60
1770,Birmingham,United Kingdom,8.51
1771,Birmingham,United Kingdom,8.42
1772,Birmingham,United Kingdom,8.82
1773,Birmingham,United Kingdom,8.71
1774,Birmingham,United Kingdom,8.63
1775,Birmingham,United Kingdom,9.53
1776,Birmingham,United Kingdom,8.73
1777,Birmingham,United Kingdom,8.83
1778,Birmingham,United Kingdom,9.30
1779,Birmingham,United Kingdom,10.19
1780,Birmingham,United Kingdom,9.29
1781,Birmingham,United Kingdom,9.91
1782,Birmingham,United Kingdom,7.92
1783,Birmingham,United Kingdom,9.34
1784,Birmingham,United Kingdom,7.93
1785,Birmingham,United Kingdom,8.22
1786,Birmingham,United Kingdom,8.03
1787,Birmingham,United Kingdom,9.11
1788,Birmingham,United Kingdom,9.03
1789,Birmingham,United Kingdom,8.80
1790,Birmingham,United Kingdom,9.27
1791,Birmingham,United Kingdom,9.16
1792,Birmingham,United Kingdom,9.13
1793,Birmingham,United Kingdom,9.13
1794,Birmingham,United Kingdom,9.47
1795,Birmingham,United Kingdom,8.71
1796,Birmingham,United Kingdom,9.02
1797,Birmingham,United Kingdom,9.13
1798,Birmingham,United Kingdom,9.42
1799,Birmingham,United Kingdom,7.61
1800,Birmingham,United Kingdom,8.83
1801,Birmingham,United Kingdom,9.21
1802,Birmingham,United Kingdom,8.93
1803,Birmingham,United Kingdom,8.52
1804,Birmingham,United Kingdom,9.05
1805,Birmingham,United Kingdom,8.43
1806,Birmingham,United Kingdom,9.29
1807,Birmingham,United Kingdom,8.48
1808,Birmingham,United Kingdom,8.45
1809,Birmingham,United Kingdom,8.45
1810,Birmingham,United Kingdom,8.43
1811,Birmingham,United Kingdom,9.40
1812,Birmingham,United Kingdom,8.11
1813,Birmingham,United Kingdom,8.66
1814,Birmingham,United Kingdom,7.52
1815,Birmingham,United Kingdom,8.42
1816,Birmingham,United Kingdom,7.57
1817,Birmingham,United Kingdom,8.46
1818,Birmingham,United Kingdom,9.38
1819,Birmingham,United Kingdom,8.99
1820,Birmingham,United Kingdom,8.32
1821,Birmingham,United Kingdom,9.26
1822,Birmingham,United Kingdom,9.81
1823,Birmingham,United Kingdom,8.39
1824,Birmingham,United Kingdom,9.16
1825,Birmingham,United Kingdom,9.50
1826,Birmingham,United Kingdom,9.63
1827,Birmingham,United Kingdom,9.00
1828,Birmingham,United Kingdom,9.68
1829,Birmingham,United Kingdom,7.70
1830,Birmingham,United Kingdom,8.42
1831,Birmingham,United Kingdom,9.48
1832,Birmingham,United Kingdom,8.89
1833,Birmingham,United Kingdom,8.94
1834,Birmingham,United Kingdom,10.01
1835,Birmingham,United Kingdom,9.06
1836,Birmingham,United Kingdom,8.47
1837,Birmingham,United Kingdom,8.46
1838,Birmingham,United Kingdom,7.75
1839,Birmingham,United Kingdom,8.35
1840,Birmingham,United Kingdom,8.26
1841,Birmingham,United Kingdom,8.52
1842,Birmingham,United Kingdom,8.97
1843,Birmingham,United Kingdom,8.88
1844,Birmingham,United Kingdom,8.51
1845,Birmingham,United Kingdom,8.08
1846,Birmingham,United Kingdom,9.90
1847,Birmingham,United Kingdom,8.89
1848,Birmingham,United Kingdom,8.97
1849,Birmingham,United Kingdom,8.97
1850,Birmingham,United Kingdom,8.74
1851,Birmingham,United Kingdom,8.86
1852,Birmingham,United Kingdom,9.48
1853,Birmingham,United Kingdom,8.16
1854,Birmingham,United Kingdom,8.96
1855,Birmingham,United Kingdom,7.80
1856,Birmingham,United Kingdom,8.76
1857,Birmingham,United Kingdom,9.76
1858,Birmingham,United Kingdom,8.89
1859,Birmingham,United Kingdom,9.40
1860,Birmingham,United Kingdom,7.81
1861,Birmingham,United Kingdom,9.04
1862,Birmingham,United Kingdom,8.97
1863,Birmingham,United Kingdom,9.37
1864,Birmingham,United Kingdom,8.53
1865,Birmingham,United Kingdom,9.40
1866,Birmingham,United Kingdom,9.18
1867,Birmingham,United Kingdom,8.65
1868,Birmingham,United Kingdom,9.91
1869,Birmingham,United Kingdom,9.14
1870,Birmingham,United Kingdom,8.66
1871,Birmingham,United Kingdom,8.74
1872,Birmingham,United Kingdom,9.42
1873,Birmingham,United Kingdom,8.75
1874,Birmingham,United Kingdom,9.00
1875,Birmingham,United Kingdom,9.00
1876,Birmingham,United Kingdom,9.21
1877,Birmingham,United Kingdom,8.93
1878,Birmingham,United Kingdom,9.00
1879,Birmingham,United Kingdom,7.18
1880,Birmingham,United Kingdom,8.83
1881,Birmingham,United Kingdom,8.26
1882,Birmingham,United Kingdom,9.03
1883,Birmingham,United Kingdom,8.67
1884,Birmingham,United Kingdom,9.36
1885,Birmingham,United Kingdom,8.20
1886,Birmingham,United Kingdom,8.34
1887,Birmingham,United Kingdom,8.07
1888,Birmingham,United Kingdom,7.95
1889,Birmingham,United Kingdom,8.63
1890,Birmingham,United Kingdom,8.56
1891,Birmingham,United Kingdom,8.29
1892,Birmingham,United Kingdom,7.93
1893,Birmingham,United Kingdom,9.66
1894,Birmingham,United Kingdom,8.94
1895,Birmingham,United Kingdom,8.34
1896,Birmingham,United Kingdom,9.01
1897,Birmingham,United Kingdom,9.12
1898,Birmingham,United Kingdom,9.67
1899,Birmingham,United Kingdom,9.44
1900,Birmingham,United Kingdom,9.16
1901,Birmingham,United Kingdom,8.75
1902,Birmingham,United Kingdom,8.55
1903,Birmingham,United Kingdom,8.94
1904,Birmingham,United Kingdom,8.73
1905,Birmingham,United Kingdom,8.81
1906,Birmingham,United Kingdom,9.10
1907,Birmingham,United Kingdom,8.57
1908,Birmingham,United Kingdom,9.01
1909,Birmingham,United Kingdom,8.32
1910,Birmingham,United Kingdom,8.88
1911,Birmingham,United Kingdom,9.73
1912,Birmingham,United Kingdom,9.01
1913,Birmingham,United Kingdom,9.41
1914,Birmingham,United Kingdom,9.52
1915,Birmingham,United Kingdom,8.59
1916,Birmingham,United Kingdom,8.82
1917,Birmingham,United Kingdom,8.19
1918,Birmingham,United Kingdom,9.19
1919,Birmingham,United Kingdom,8.15
1920,Birmingham,United Kingdom,9.22
1921,Birmingham,United Kingdom,10.17
1922,Birmingham,United Kingdom,8.37
1923,Birmingham,United Kingdom,8.76
1924,Birmingham,United Kingdom,8.89
1925,Birmingham,United Kingdom,8.82
1926,Birmingham,United Kingdom,9.37
1927,Birmingham,United Kingdom,8.82
1928,Birmingham,United Kingdom,9.24
1929,Birmingham,United Kingdom,8.74
1930,Birmingham,United Kingdom,9.10
1931,Birmingham,United Kingdom,8.71
1932,Birmingham,United Kingdom,9.08
1933,Birmingham,United Kingdom,9.51
1934,Birmingham,United Kingdom,9.65
1935,Birmingham,United Kingdom,9.40
1936,Birmingham,United Kingdom,8.98
1937,Birmingham,United Kingdom,9.21
1938,Birmingham,United Kingdom,9.71
1939,Birmingham,United Kingdom,9.32
1940,Birmingham,United Kingdom,8.81
1941,Birmingham,United Kingdom,8.74
1942,Birmingham,United Kingdom,8.77
1943,Birmingham,United Kingdom,9.71
1944,Birmingham,United Kingdom,9.25
1945,Birmingham,United Kingdom,9.93
1946,Birmingham,United Kingdom,9.10
1947,Birmingham,United Kingdom,9.20
1948,Birmingham,United Kingdom,9.69
1949,Birmingham,United Kingdom,10.26
1950,Birmingham,United Kingdom,9.13
1951,Birmingham,United Kingdom,8.93
1952,Birmingham,United Kingdom,8.88
1953,Birmingham,United Kingdom,9.53
1954,Birmingham,United Kingdom,8.91
1955,Birmingham,United Kingdom,9.01
1956,Birmingham,United Kingdom,8.58
1957,Birmingham,United Kingdom,9.79
1958,Birmingham,United Kingdom,9.17
1959,Birmingham,United Kingdom,10.19
1960,Birmingham,United Kingdom,9.41
1961,Birmingham,United Kingdom,9.58
1962,Birmingham,United Kingdom,8.28
1963,Birmingham,United Kingdom,8.10
1964,Birmingham,United Kingdom,9.15
1965,Birmingham,United Kingdom,8.66
1966,Birmingham,United Kingdom,9.15
1967,Birmingham,United Kingdom,9.31
1968,Birmingham,United Kingdom,9.02
1969,Birmingham,United Kingdom,8.99
1970,Birmingham,United Kingdom,9.29
1971,Birmingham,United Kingdom,9.48
1972,Birmingham,United Kingdom,8.94
1973,Birmingham,United Kingdom,9.37
1974,Birmingham,United Kingdom,9.20
1975,Birmingham,United Kingdom,9.68
1976,Birmingham,United Kingdom,9.67
1977,Birmingham,United Kingdom,9.13
1978,Birmingham,United Kingdom,9.05
1979,Birmingham,United Kingdom,8.51
1980,Birmingham,United Kingdom,9.14
1981,Birmingham,United Kingdom,8.95
1982,Birmingham,United Kingdom,9.59
1983,Birmingham,United Kingdom,9.68
1984,Birmingham,United Kingdom,9.50
1985,Birmingham,United Kingdom,8.54
1986,Birmingham,United Kingdom,8.37
1987,Birmingham,United Kingdom,8.80
1988,Birmingham,United Kingdom,9.44
1989,Birmingham,United Kingdom,10.21
1990,Birmingham,United Kingdom,10.40
1991,Birmingham,United Kingdom,9.24
1992,Birmingham,United Kingdom,9.54
1993,Birmingham,United Kingdom,9.14
1994,Birmingham,United Kingdom,9.86
1995,Birmingham,United Kingdom,10.17
1996,Birmingham,United Kingdom,8.87
1997,Birmingham,United Kingdom,10.17
1998,Birmingham,United Kingdom,10.00
1999,Birmingham,United Kingdom,10.30
2000,Birmingham,United Kingdom,9.97
2001,Birmingham,United Kingdom,9.69
2002,Birmingham,United Kingdom,10.28
2003,Birmingham,United Kingdom,10.25
2004,Birmingham,United Kingdom,10.27
2005,Birmingham,United Kingdom,10.24
2006,Birmingham,United Kingdom,10.58
2007,Birmingham,United Kingdom,10.37
2008,Birmingham,United Kingdom,9.82
2009,Birmingham,United Kingdom,9.90
2010,Birmingham,United Kingdom,8.80
2011,Birmingham,United Kingdom,10.63
2012,Birmingham,United Kingdom,9.55
2013,Birmingham,United Kingdom,9.57
1841,Brisbane,Australia,18.84
1842,Brisbane,Australia,19.05
1843,Brisbane,Australia,19.25
1844,Brisbane,Australia,18.68
1845,Brisbane,Australia,18.93
1846,Brisbane,Australia,19.56
1847,Brisbane,Australia,19.01
1848,Brisbane,Australia,18.78
1849,Brisbane,Australia,18.78
1850,Brisbane,Australia,19.01
1851,Brisbane,Australia,19.10
1852,Brisbane,Australia,18.93
1853,Brisbane,Australia,18.78
1854,Brisbane,Australia,19.05
1855,Brisbane,Australia,17.71
1856,Brisbane,Australia,19.02
1857,Brisbane,Australia,18.89
1858,Brisbane,Australia,19.06
1859,Brisbane,Australia,18.63
1860,Brisbane,Australia,18.83
1861,Brisbane,Australia,19.40
1862,Brisbane,Australia,19.18
1863,Brisbane,Australia,19.06
1864,Brisbane,Australia,18.80
1865,Brisbane,Australia,19.19
1866,Brisbane,Australia,19.38
1867,Brisbane,Australia,19.74
1868,Brisbane,Australia,19.36
