X,Y,month,day,temp,wind,rain,area
2,2,aug,mon,23.1,3.1,0,
2,2,aug,thu,18.6,4.5,0,
2,2,sep,fri,23,4.5,0,
2,2,sep,fri,19.6,5.4,0,
2,2,sep,fri,19.6,6.3,0,
4,5,mar,fri,17.2,4.5,0,
4,5,mar,fri,15.8,7.6,0,
4,5,sep,fri,17.7,3.6,0,
5,4,mar,fri,15.6,6.3,0,
5,4,aug,tue,17.3,4.5,0,
5,4,sep,fri,27.6,1.3,0,
9,9,feb,thu,6.7,3.1,0,
9,9,feb,fri,15.7,3.1,0,
1,3,mar,mon,8.3,3.1,0,
1,2,aug,fri,14.7,2.7,0,
1,2,aug,tue,21.6,6.7,0,
1,2,aug,sun,19.5,6.3,0,
1,2,aug,sun,17.9,2.2,0,
1,2,aug,tue,18.6,4.5,0,
1,2,aug,wed,16.6,0.9,0,
1,2,aug,thu,20.2,3.6,0,
1,2,sep,thu,21.5,0.9,0,
1,2,sep,thu,25.4,2.2,0,
1,2,sep,thu,22.4,2.2,0,
1,2,sep,sun,25.3,3.6,0,
6,5,mar,sat,17.4,4.9,0,
6,5,aug,sat,14.7,5.8,0,
8,6,mar,fri,17.4,5.4,0,
8,6,aug,sun,20.8,6.3,0,
8,6,aug,sun,18.2,4.9,0,
8,6,aug,mon,23.4,2.7,0,
4,4,sep,sun,17.8,1.3,0,
3,4,feb,sat,12.7,1.8,0,
3,4,mar,sat,17.4,5.4,0,
3,4,aug,sun,11.6,4.5,0,
3,4,aug,sun,19.8,5.4,0,
3,4,aug,sun,19.8,5.4,0,
3,4,aug,tue,14.4,5.4,0,
2,4,aug,tue,20.1,4,0,
2,4,sep,sat,24.1,4.5,0,
2,4,jan,sat,5.3,3.1,0,
4,5,mar,fri,12.7,6.3,0,
4,5,mar,thu,18.2,3.1,0,
4,5,aug,sun,21.4,3.1,0,
4,5,sep,sat,20.3,3.1,0,
4,5,sep,mon,17.4,5.4,0,
4,4,mar,fri,13.7,5.8,0,
3,4,mar,fri,18.8,4.5,0,
3,4,sep,sun,22.8,3.6,0,
3,4,sep,mon,18.9,2.7,0,
3,4,mar,tue,15.8,7.6,0,
3,5,mar,tue,15.5,6.3,0,
3,4,mar,sat,11.6,6.3,0,
3,4,mar,sat,15.2,4.9,0,
3,4,mar,mon,10.6,4,0,
3,4,aug,thu,19.6,3.1,0,
3,4,aug,mon,10.3,2.2,0,
3,4,aug,mon,17.1,5.4,0,
3,4,sep,sun,22.5,5.4,0,
3,4,sep,tue,17.9,3.1,0,
3,4,sep,fri,19.8,5.4,0,
3,4,oct,sun,20.6,5.4,0,
3,5,mar,mon,9,2.2,0,
3,5,sep,fri,17.2,3.1,0,
3,5,oct,wed,15.9,3.6,0,
2,5,oct,sun,15.4,0.9,0,
4,6,feb,sat,15.4,2.7,0,
4,6,mar,mon,14,3.1,0,
4,6,mar,sun,10.6,4.9,0,
4,6,sep,thu,17.6,3.1,0,
3,5,mar,tue,14.9,2.7,0,
3,5,aug,sat,17.6,5.8,0,
3,6,sep,sun,17.2,1.3,0,
3,6,sep,mon,15.6,3.1,0,
9,9,jul,tue,18,2.7,0,0.36
1,4,sep,tue,21.7,2.2,0,0.43
2,5,sep,mon,21.9,1.8,0,0.47
1,2,aug,wed,23.3,4.5,0,0.55
8,6,aug,fri,21.2,8.9,0,0.61
1,2,jul,sat,16.6,5.4,0,0.71
2,5,aug,wed,23.8,5.4,0,0.77
6,5,aug,thu,27.4,4,0,0.9
5,4,mar,mon,13.2,5.4,0,0.95
8,3,sep,tue,24.2,3.6,0,0.96
2,2,aug,tue,17.4,6.7,0,1.07
8,6,sep,thu,23.7,4.5,0,1.12
6,5,jun,fri,23.2,5.4,0,1.19
9,9,jul,sun,24.8,2.2,0,1.36
3,4,jul,sat,24.6,1.8,0,1.43
5,4,sep,fri,20.1,4.9,0,1.46
1,5,sep,sat,29.6,2.7,0,1.46
7,4,aug,sun,16.4,1.3,0,1.56
2,4,sep,sat,28.6,2.2,0,1.61
2,2,aug,wed,18.4,3.6,0,1.63
2,4,aug,wed,20.5,4,0,1.64
7,4,sep,fri,19,5.8,0,1.69
7,4,mar,mon,16.1,3.1,0,1.75
6,4,aug,thu,20.3,4,0,1.9
6,3,mar,sat,15.2,8.5,0,1.94
8,6,sep,sat,17.8,1.8,0,1.95
8,5,sep,sun,17.8,2.2,0,2.01
6,5,mar,thu,5.3,4.5,0,2.14
6,5,aug,wed,16.6,0.9,0,2.29
6,5,aug,wed,23.4,4.5,0,2.51
6,5,mar,fri,14.6,9.4,0,2.53
8,6,aug,thu,20.7,2.2,0,2.55
5,4,sep,wed,21.9,1.8,0,2.57
8,6,aug,wed,17.4,4,0,2.69
7,4,aug,sun,20.1,5.4,0,2.74
4,4,sep,mon,17.7,2.2,0,3.07
1,4,aug,sat,14.2,1.8,0,3.5
1,4,aug,sat,20.3,4.9,0,4.53
6,5,apr,thu,5.8,5.8,0,4.61
2,5,aug,sun,19.2,2.7,0,4.69
2,5,sep,wed,18.3,2.2,0,4.88
8,6,aug,tue,14.4,5.4,0,5.23
1,3,sep,sun,23.9,6.7,0,5.33
8,6,oct,mon,19.1,4,0,5.44
5,4,feb,sun,12.4,2.2,0,6.38
7,4,oct,mon,16.8,4.5,0,6.83
8,6,aug,fri,20.8,4.9,0,6.96
2,5,sep,tue,17.6,3.1,0,7.04
8,6,mar,sun,11.5,5.8,0,7.19
1,5,sep,mon,21,2.2,0,7.3
6,4,mar,sat,13.3,0.9,0,7.4
7,4,mar,sun,11.5,4,0,8.24
6,5,mar,fri,11.7,4,0,8.31
2,5,aug,thu,24.2,2.7,0,8.68
2,2,aug,tue,24.6,4.5,0,8.71
4,5,sep,wed,24.3,4,0,9.41
2,2,aug,tue,24.6,4.5,0,10.01
2,5,aug,fri,23.5,5.4,0,10.02
6,5,apr,thu,5.8,5.8,0,10.93
4,5,sep,thu,21.5,0.9,0,11.06
3,4,sep,tue,13.9,6.3,0,11.24
2,4,sep,mon,22.6,3.6,0,11.32
1,5,sep,tue,21.6,2.2,0,11.53
6,5,mar,sun,12.4,3.6,0,12.1
7,4,feb,sun,8.8,2.2,0,13.05
8,6,oct,wed,20.2,2.7,0,13.7
5,6,mar,sat,15.1,4,0,13.99
4,5,sep,thu,22.1,1.8,0,14.57
2,2,aug,sat,22.9,7.2,0,15.45
7,5,sep,tue,20.7,2.2,0,17.2
6,5,sep,fri,19.6,6.3,0,19.23
8,3,sep,thu,23.2,4.9,0,23.41
4,4,oct,sat,18.4,3.1,0,24.23
7,4,aug,sat,5.1,5.8,0,26
7,4,sep,fri,20.1,4.9,0,26.13
7,3,mar,mon,11,5.8,0,27.35
4,4,mar,sat,17,4.9,0,28.66
4,4,mar,sat,17,4.9,0,28.66
4,4,sep,sun,16.9,1.3,0,29.48
1,3,sep,mon,12.4,6.3,0,30.32
4,5,sep,wed,19.4,1.3,0,31.72
6,5,mar,mon,15.2,3.1,0,31.86
8,6,aug,sun,16.2,3.1,0,32.07
3,4,sep,fri,18.6,3.6,0,35.88
4,3,mar,mon,11,5.8,0,36.85
2,2,jul,fri,13.4,3.6,0,37.02
7,4,sep,wed,15.4,4.5,0,37.71
4,4,sep,sun,22.9,4.9,0,48.55
7,5,oct,mon,16.1,4,0,49.37
8,6,aug,sat,20.1,4.5,0,58.3
4,6,sep,sun,28.3,3.1,0,64.1
8,6,aug,sat,16.4,4,0,71.3
4,4,sep,wed,26.4,4.5,0,88.49
1,5,sep,sun,27.8,3.1,0,95.18
6,4,sep,tue,18.7,2.7,0,103.39
9,4,sep,tue,24.3,3.1,0,105.66
4,5,sep,sat,17.7,3.1,0,154.88
8,6,aug,sun,19.6,5.8,0,196.48
2,2,sep,sat,18.2,1.8,0,200.94
1,2,sep,tue,18.8,2.2,0,212.88
6,5,sep,sat,25.1,4,0,1090.84
7,5,apr,sun,13.4,1.8,0,0
6,3,apr,wed,15.2,2.7,0,0
4,4,apr,fri,16.7,3.1,0,0
2,4,aug,sun,15.4,4,0,10.13
7,4,aug,sun,21.9,7.6,1,0
2,4,aug,sun,22.4,7.6,0,2.87
3,4,aug,sun,26.8,6.3,0,0.76
5,4,aug,sun,25.7,5.4,0,0.09
2,4,aug,wed,20.7,2.2,0,0.75
8,6,aug,wed,28.7,2.7,0,0
3,4,aug,wed,21.7,0.4,0,2.47
8,5,aug,wed,26.8,,0,0.68
8,5,aug,wed,24,3.1,0,0.24
6,5,aug,wed,22.1,3.6,0,0.21
7,4,aug,thu,21.4,2.7,0,1.52
6,3,aug,thu,18.9,3.1,0,10.34
2,5,aug,thu,22.3,4,0,0
8,6,aug,sat,23.9,2.2,0,8.02
4,3,aug,sat,21.4,2.7,0,0.68
3,4,aug,sat,20.6,0.9,0,0
7,4,aug,sat,23.7,1.8,0,1.38
2,4,aug,mon,28.3,4,0,8.85
3,4,aug,fri,11.2,7.6,0,3.3
2,4,aug,fri,21.4,3.1,0,4.25
6,3,aug,fri,19.3,3.6,0,1.56
4,4,aug,fri,21.8,3.1,0,6.54
4,4,aug,tue,22.1,7.6,0,0.79
6,5,aug,tue,19.4,4,0,0.17
2,2,aug,tue,23.7,3.1,0,0
3,4,aug,tue,21,3.1,0,0
4,4,aug,tue,19.1,2.7,0,4.4
2,2,aug,tue,21.8,3.1,0,0.52
8,6,aug,tue,20.1,4.5,0,9.27
2,5,aug,tue,20.2,4,0,3.09
4,6,dec,sun,4.8,8.5,0,8.98
8,6,dec,wed,5.1,8,0,11.19
4,6,dec,thu,5.1,4.9,0,5.38
4,4,dec,mon,4.6,8.5,0,17.85
3,4,dec,mon,4.6,8.5,0,10.73
4,4,dec,mon,4.6,8.5,0,22.03
4,4,dec,mon,4.6,8.5,0,9.77
4,6,dec,fri,2.2,4.9,0,9.27
6,5,dec,tue,5.1,8.5,0,24.77
6,3,feb,sun,4.2,4,0,0
3,4,feb,wed,8.8,3.1,0,1.1
5,4,feb,fri,7.5,8,0,24.24
2,5,jul,sun,23.4,6.3,0,0
7,6,jul,wed,12.6,7.6,0.2,0
7,4,jul,sat,22.1,2.7,0,0
7,4,jul,sat,24.2,1.8,0,0
7,4,jul,sat,24.3,1.8,0,0
2,5,jul,sat,18.7,1.8,0,0
9,4,jul,sat,25.3,0.9,0,8
4,5,jul,fri,22.9,1.3,0,2.64
7,6,jul,tue,26.9,5.4,0,86.45
8,6,jul,tue,17.1,3.6,0,6.57
7,5,jun,sun,22.2,1.3,0,0
6,4,jun,sun,14.3,1.8,0,0.9
8,6,jun,sun,15.4,2.2,0,0
8,6,jun,wed,19.6,4.9,0,0
6,5,jun,sat,10.6,2.7,0,0
6,5,jun,mon,20.7,4.9,0,0
6,5,jun,mon,19.1,5.4,0,3.52
3,6,jun,fri,19.2,4.5,0,0
3,6,jun,fri,19.2,4.5,0,0
6,5,may,sat,11.3,4.9,0,0
1,4,sep,sun,19,2.2,0,0
7,4,sep,sun,17.1,5.4,0,0.41
3,4,sep,sun,23.8,3.6,0,5.18
2,4,sep,sun,16,1.8,0,0
2,4,sep,sun,24.9,2.2,0,0
7,4,sep,sun,25.3,2.7,0,0
6,3,sep,sun,24.8,1.8,0,14.29
2,4,sep,sun,12.2,6.3,0,0
6,5,sep,wed,24.3,4.9,0,0
4,4,sep,wed,19.7,1.8,0,1.58
3,4,sep,wed,18.5,2.7,0,0
4,5,sep,thu,18.6,5.8,0,0
4,4,sep,thu,19.2,4.9,0,3.78
6,5,sep,thu,21.6,2.2,0,0
5,4,sep,thu,21.6,6.3,0,4.41
6,3,sep,thu,18.9,7.2,0,34.36
1,4,sep,thu,16.8,4,0,7.21
6,5,sep,thu,16.8,4,0,1.01
3,5,sep,thu,12.9,2.7,0,2.18
6,5,sep,thu,13.7,1.8,0,4.42
1,4,sep,sat,24.2,3.1,0,0
5,4,sep,sat,24.1,3.1,0,0
6,5,sep,sat,21.2,2.2,0,0
6,5,sep,sat,19.7,1.8,0,0
4,3,sep,sat,23.5,4,0,3.33
3,3,sep,sat,24.2,3.1,0,6.58
7,4,sep,sat,21.5,4.5,0,15.64
4,4,sep,sat,17.1,2.2,0,11.22
1,4,sep,mon,18.1,3.1,0,2.13
2,3,sep,mon,18,5.4,0,0
4,3,sep,mon,9.8,1.8,0,0
7,4,sep,mon,19.3,2.2,0,0
6,3,sep,mon,23,2.2,0,56.04
8,6,sep,mon,22.7,2.2,0,7.48
2,4,sep,mon,20.4,1.8,0,1.47
2,5,sep,mon,19.3,2.2,0,3.93
8,6,sep,mon,15.7,2.2,0,0
6,3,sep,mon,20.6,1.8,0,0
8,6,sep,mon,15.9,4.5,0,2.18
6,3,sep,mon,12.2,4.9,0,6.1
2,2,sep,mon,16.8,3.1,0,5.83
1,4,sep,mon,21.3,2.2,0,28.19
5,4,sep,fri,10.1,3.6,0,0
3,4,sep,fri,17.4,4.5,0,0
5,4,sep,fri,12.8,3.6,0,1.64
5,4,sep,fri,10.1,3.6,0,3.71
4,4,sep,fri,15.4,6.3,0,7.31
7,4,sep,fri,20.6,3.6,0,2.03
7,4,sep,fri,19.8,2.7,0,1.72
7,4,sep,fri,18.7,2.2,0,5.97
4,4,sep,fri,20.8,4.9,0,13.06
4,4,sep,fri,20.8,4.9,0,1.26
6,3,sep,fri,15.9,3.6,0,0
6,3,sep,fri,19.7,2.7,0,0
1,4,sep,fri,21.1,2.2,0,8.12
6,5,sep,fri,18.4,2.2,0,1.09
4,3,sep,fri,17.3,4,0,3.94
7,4,sep,fri,15.2,3.1,0,0.52
4,3,sep,tue,15.9,2.2,0,2.93
6,5,sep,tue,21.1,2.7,0,5.65
6,5,sep,tue,19.6,3.1,0,20.03
4,5,sep,tue,15.9,5.4,0,1.75
4,5,sep,tue,16.4,3.6,0,0
6,5,sep,sat,16.8,4.9,0,12.64
4,5,sep,sun,13.8,7.6,0,0
7,4,sep,sun,13.8,7.6,0,11.06
3,4,jul,wed,14.2,4,0,0
4,5,aug,sun,10.4,0.9,0,0
5,4,aug,thu,20.3,2.7,0,0
6,5,sep,fri,10.3,4,0,18.3
6,5,sep,sat,15.4,4.9,0,39.35
8,6,aug,mon,21.1,2.2,0,0
2,2,aug,sat,21.9,2.2,0,174.63
6,5,mar,thu,8.7,5.8,0,0
4,5,jan,sun,5.2,0.9,0,0
5,4,jul,wed,19.3,7.2,0,7.73
8,6,aug,thu,16.2,2.7,0,16.33
8,6,aug,wed,28.2,1.8,0,5.86
9,6,aug,thu,20.5,2.7,0,42.87
8,4,aug,sat,21.3,4.5,0,12.18
2,4,aug,sun,20.9,2.2,0,16
3,4,sep,sun,20.6,5.4,0,24.59
5,5,mar,thu,11.6,5.4,0,0
6,4,aug,fri,23.3,3.1,0,28.74
7,4,aug,fri,23.3,3.1,0,0
7,4,feb,mon,7.5,6.3,0,9.96
8,6,sep,fri,20.7,2.7,0,30.18
1,3,sep,sun,21.9,4,0,70.76
2,4,mar,tue,15.2,7.6,0,0
6,5,feb,mon,5.3,1.8,0,0
4,5,feb,sun,10.1,1.8,0,51.78
4,3,sep,sun,20.4,4.9,0,3.64
5,6,aug,sun,24.3,3.6,0,3.63
1,2,aug,sat,25.9,3.1,0,0
9,5,jun,wed,28,4.5,0,0
9,5,jun,wed,28,4.5,0,8.16
3,4,sep,thu,22.8,4,0,4.95
9,9,aug,fri,25,4,0,0
8,6,aug,thu,21.3,3.6,0,0
2,4,sep,wed,21.8,2.2,0,6.04
2,2,aug,tue,27.9,2.2,0,0
6,5,sep,sat,17,4.9,0,3.95
4,5,feb,sat,14.2,4,0,0
4,3,sep,fri,19.9,3.1,0,7.8
1,4,jul,tue,23.4,5.4,0,0
6,3,feb,fri,14.7,2.7,0,0
7,4,feb,fri,8.2,9.4,0,4.62
9,4,jul,mon,22.8,4.5,0,1.63
7,5,aug,sat,26.4,3.6,0,0
5,4,aug,sun,24.1,4,0,0
8,6,aug,thu,27.5,4.9,0,746.28
6,3,jul,tue,26.3,3.1,0,7.02
6,5,mar,wed,13.8,5.8,0,0
2,4,aug,sun,24.9,5.4,0,2.44
2,5,aug,sun,24.8,4,0,3.05
8,8,aug,wed,26.2,4.5,0,185.76
2,4,aug,wed,30.8,4.5,0,0
8,6,jul,sun,29.3,3.6,0,6.3
1,3,sep,sat,22.3,4,0,0.72
8,6,aug,sat,26.9,3.6,0,4.96
2,2,aug,thu,20.4,2.2,0,0
8,6,aug,thu,20.4,2.2,0,0
2,4,aug,mon,27.9,2.2,0,2.35
1,3,aug,thu,26.2,5.8,0,0
3,4,aug,sun,24.6,4,0,3.2
7,4,sep,thu,19.4,3.6,0,0
1,3,aug,sat,23.3,4,0,6.36
8,6,aug,thu,23.9,6.7,0,0
2,4,aug,sun,20.9,4.9,0,15.34
1,4,aug,fri,22.2,3.6,0,0
2,5,jul,sat,23.8,1.8,0,0
8,6,aug,mon,26.8,1.3,0,0.54
8,6,aug,sat,14.2,2.7,0,0
2,5,aug,sat,23.6,4,0,6.43
1,3,sep,fri,19.1,2.2,0,0.33
5,4,sep,fri,16.2,3.6,0,0
8,6,aug,mon,25.5,1.8,0,1.23
6,5,apr,mon,10.9,3.1,0,3.35
1,2,jul,fri,14.8,8,0,0
2,5,sep,fri,16.2,3.6,0,9.96
5,5,aug,sun,17.3,4.5,0,0
6,5,aug,sun,19.1,2.2,0,0
3,4,mar,wed,8.9,8,0,0
7,4,sep,wed,10.5,4,0,0
7,4,aug,sun,19.3,4.9,0,0
4,5,aug,wed,23.4,5.4,0,6.43
1,4,aug,fri,11.8,4.9,0,9.71
7,4,aug,mon,17.7,4,0,0
4,5,aug,thu,17.4,3.1,0,0
3,4,aug,thu,16.8,3.1,0,0
3,4,jul,mon,17.9,2.7,0,0
2,4,aug,thu,16.6,2.7,0,0
1,4,aug,wed,19.9,4,0,82.75
8,6,aug,sat,18.9,4.9,0,3.32
7,4,aug,sat,15.5,8,0,1.94
2,5,aug,sat,18.9,4.9,0,0
8,6,aug,sat,18.9,4.9,0,0
1,4,sep,sun,14.5,7.6,0,3.71
6,5,feb,tue,4.6,6.3,0,5.39
6,4,feb,tue,5.1,5.4,0,2.14
2,2,feb,sat,4.6,0.9,0,6.84
6,5,mar,mon,10.2,5.8,0,3.18
3,4,mar,wed,11.2,5.4,0,5.55
6,5,mar,thu,13.3,3.6,0,6.61
6,3,apr,sun,13.7,9.4,0,61.13
5,4,apr,sun,17.6,5.8,0,0
4,3,may,fri,18,4,0,38.48
8,3,jun,mon,14.3,4,0,1.94
9,4,jun,sat,24.5,3.1,0,70.32
4,3,jun,thu,26.4,2.7,0,10.08
2,5,jun,thu,22.7,9.4,0,3.19
4,3,jul,thu,27.2,1.3,0,1.76
4,3,jul,sun,26.1,4,0,7.36
7,4,jul,sun,18.2,4.5,0,2.21
7,4,jul,mon,22.6,4.9,0,278.53
9,9,jul,thu,30.2,4.5,0,2.75
4,3,jul,thu,30.2,4.9,0,0
3,4,aug,sun,23.4,5.8,0,1.29
8,6,aug,sun,31,5.4,0,0
2,5,aug,sun,33.1,4,0,26.43
2,4,aug,mon,30.6,3.6,0,2.07
5,4,aug,tue,24.1,6.3,0,2
5,4,aug,tue,26.4,3.6,0,16.4
4,4,aug,tue,19.4,7.6,0,46.7
4,4,aug,wed,20.6,1.3,0,0
4,4,aug,wed,28.7,4,0,0
4,4,aug,thu,32.4,4.5,0,0
1,3,aug,fri,32.4,2.2,0,0
1,3,aug,fri,27.5,4.5,0,43.32
6,6,aug,sat,30.8,4.9,0,8.59
6,6,aug,mon,23.9,2.2,0,0
4,5,aug,mon,32.6,3.1,0,2.77
3,4,aug,tue,32.3,2.2,0,14.68
6,5,aug,tue,33.3,2.7,0,40.54
7,5,aug,tue,27.3,4.9,6.4,10.82
8,6,aug,tue,21.6,4.9,0.8,0
7,5,aug,tue,21.6,4.9,0.8,0
4,4,aug,tue,,4.9,0.4,0
2,4,aug,wed,29.2,4.9,0,1.95
4,3,aug,wed,28.9,4.9,0,49.59
1,2,aug,thu,26.7,1.8,0,5.8
1,2,aug,fri,18.5,8.5,0,0
2,4,aug,fri,25.9,3.6,0,0
1,2,aug,fri,25.9,3.6,0,0
5,4,aug,fri,21.1,7.6,1.4,2.17
6,5,aug,fri,18.2,5.4,0,0.43
8,6,aug,sun,27.8,2.7,0,0
4,3,aug,sun,27.8,2.7,0,6.44
2,4,aug,sun,21.9,5.8,0,54.29
7,4,aug,sun,21.2,6.7,0,11.16
1,4,aug,sat,25.6,4,0,0
6,3,nov,tue,11.8,4.5,0,0
