loan_amnt,term,int_rate,grade,home_ownership,annual_inc,purpose,loan_status
20000,60 months,20.89,F,RENT,70000,debt_consolidation,Charged Off
9600,36 months,12.42,B,RENT,65000,debt_consolidation,Fully Paid
21000,60 months,11.71,B,RENT,60000,debt_consolidation,Charged Off
14000,36 months,10.65,B,RENT,30000,credit_card,Fully Paid
13350,36 months,12.42,B,RENT,43000,debt_consolidation,Fully Paid
15000,36 months,16.77,D,RENT,42000,debt_consolidation,Charged Off
15000,36 months,17.27,D,RENT,75000,debt_consolidation,Charged Off
11000,60 months,13.49,C,MORTGAGE,129000,debt_consolidation,Fully Paid
35000,36 months,10.65,B,MORTGAGE,168000,debt_consolidation,Fully Paid
9000,36 months,10.65,B,MORTGAGE,74000,credit_card,Fully Paid
22475,60 months,15.27,C,MORTGAGE,52000,debt_consolidation,Fully Paid
16000,36 months,12.69,B,RENT,58500,debt_consolidation,Charged Off
13500,36 months,12.69,B,RENT,71000,debt_consolidation,Fully Paid
24000,36 months,12.69,B,RENT,75000,debt_consolidation,Fully Paid
12000,36 months,10.65,B,RENT,60000,credit_card,Fully Paid
8400,60 months,16.77,D,RENT,87996,major_purchase,Fully Paid
28000,60 months,17.58,D,MORTGAGE,140000,home_improvement,Fully Paid
14000,36 months,6.62,A,RENT,66000,debt_consolidation,Fully Paid
12000,36 months,14.27,C,MORTGAGE,70000,other,Charged Off
25000,36 months,11.71,B,MORTGAGE,1.00E+05,debt_consolidation,Fully Paid
9000,36 months,12.69,B,RENT,50000,debt_consolidation,Fully Paid
13250,36 months,10.65,B,RENT,35000,debt_consolidation,Fully Paid
20000,36 months,13.49,C,RENT,75000,debt_consolidation,Fully Paid
3000,36 months,14.65,C,RENT,71000,medical,Fully Paid
7350,36 months,10.65,B,MORTGAGE,48000,debt_consolidation,Fully Paid
11500,36 months,15.27,C,RENT,36000,debt_consolidation,Fully Paid
13650,36 months,12.42,B,MORTGAGE,86000,debt_consolidation,Charged Off
10500,36 months,16.29,D,RENT,30000,debt_consolidation,Charged Off
12000,36 months,9.91,B,RENT,60000,debt_consolidation,Fully Paid
6000,36 months,8.9,A,RENT,34000,credit_card,Fully Paid
11500,36 months,15.27,C,MORTGAGE,44200,credit_card,Fully Paid
7000,36 months,12.42,B,MORTGAGE,82000,debt_consolidation,Fully Paid
29500,60 months,20.3,E,MORTGAGE,83000,debt_consolidation,Fully Paid
2000,36 months,15.27,C,RENT,41000,moving,Fully Paid
11625,36 months,13.49,C,MORTGAGE,36000,credit_card,Fully Paid
15075,36 months,14.27,C,RENT,35000,debt_consolidation,Charged Off
5300,36 months,15.27,C,RENT,30000,credit_card,Fully Paid
8200,36 months,6.62,A,RENT,40000,home_improvement,Fully Paid
12000,36 months,12.42,B,MORTGAGE,105000,credit_card,Fully Paid
8650,36 months,14.27,C,MORTGAGE,45000,credit_card,Fully Paid
21000,60 months,17.27,D,MORTGAGE,109000,debt_consolidation,Fully Paid
16000,60 months,17.27,D,RENT,50000,debt_consolidation,Current
12000,36 months,12.42,B,RENT,83000,debt_consolidation,Fully Paid
9500,36 months,12.69,B,MORTGAGE,52500,moving,Charged Off
7400,36 months,13.49,C,OWN,25000,debt_consolidation,Fully Paid
14400,36 months,13.49,C,MORTGAGE,60000,debt_consolidation,Fully Paid
24250,60 months,23.91,G,MORTGAGE,120000,debt_consolidation,Fully Paid
7200,36 months,7.9,A,RENT,68000,debt_consolidation,Charged Off
26000,60 months,16.77,D,MORTGAGE,53000,home_improvement,Charged Off
7000,60 months,11.71,B,MORTGAGE,69600,credit_card,Charged Off
4000,36 months,7.51,A,RENT,65000,major_purchase,Fully Paid
1500,36 months,17.27,D,MORTGAGE,144000,debt_consolidation,Fully Paid
19600,36 months,12.42,B,RENT,75000,credit_card,Fully Paid
2500,36 months,11.71,B,MORTGAGE,29000,debt_consolidation,Fully Paid
10000,36 months,12.69,B,RENT,70000,credit_card,Charged Off
10000,36 months,6.62,A,RENT,45000,credit_card,Fully Paid
4225,36 months,12.42,B,MORTGAGE,55200,other,Fully Paid
3500,36 months,7.9,A,MORTGAGE,61440,vacation,Fully Paid
12000,36 months,6.62,A,MORTGAGE,56000,debt_consolidation,Fully Paid
16500,36 months,8.9,A,RENT,47000,debt_consolidation,Fully Paid
22000,60 months,21.67,F,RENT,55000,debt_consolidation,Fully Paid
12000,36 months,14.65,C,RENT,71000,credit_card,Fully Paid
15600,60 months,12.69,B,RENT,50000,vacation,Charged Off
10800,36 months,12.42,B,RENT,135000,credit_card,Fully Paid
14000,36 months,12.42,B,MORTGAGE,63000,credit_card,Fully Paid
18825,60 months,17.58,D,MORTGAGE,44000,debt_consolidation,Current
6000,36 months,13.49,C,MORTGAGE,50000,debt_consolidation,Fully Paid
12000,36 months,9.91,B,RENT,80000,debt_consolidation,Fully Paid
10000,36 months,12.42,B,RENT,45000,debt_consolidation,Fully Paid
8000,36 months,7.9,A,RENT,78000,vacation,Fully Paid
14125,36 months,9.91,B,RENT,33000,debt_consolidation,Fully Paid
14000,36 months,12.69,B,RENT,62800,debt_consolidation,Fully Paid
13200,60 months,17.27,D,RENT,26400,small_business,Fully Paid
4000,36 months,19.03,E,MORTGAGE,80000,vacation,Fully Paid
4000,36 months,12.69,B,RENT,25000,debt_consolidation,Charged Off
10500,36 months,6.03,A,MORTGAGE,65000,debt_consolidation,Fully Paid
5500,36 months,7.9,A,OWN,59000,car,Fully Paid
7350,36 months,11.71,B,RENT,33000,debt_consolidation,Fully Paid
10000,36 months,12.42,B,RENT,39000,credit_card,Charged Off
12000,36 months,7.51,A,RENT,42000,debt_consolidation,Fully Paid
5000,60 months,11.71,B,MORTGAGE,38004,home_improvement,Fully Paid
8000,60 months,11.71,B,OWN,31000,other,Fully Paid
4500,36 months,8.9,A,MORTGAGE,50700,other,Fully Paid
18000,36 months,12.42,B,OWN,75000,credit_card,Fully Paid
12300,60 months,13.49,C,MORTGAGE,30000,debt_consolidation,Current
12000,36 months,13.49,C,RENT,40000,debt_consolidation,Fully Paid
10000,36 months,13.49,C,MORTGAGE,50000,credit_card,Fully Paid
6000,36 months,7.9,A,MORTGAGE,80000,other,Fully Paid
12000,36 months,12.69,B,RENT,40000,debt_consolidation,Fully Paid
12000,36 months,8.9,A,RENT,80000,other,Charged Off
7000,36 months,11.71,B,RENT,75000,debt_consolidation,Fully Paid
35000,60 months,18.64,E,MORTGAGE,85000,debt_consolidation,Fully Paid
1400,36 months,7.9,A,RENT,28800,other,Fully Paid
16000,60 months,13.49,C,RENT,35000,small_business,Charged Off
3200,36 months,9.91,B,RENT,61200,debt_consolidation,Fully Paid
8000,36 months,7.9,A,RENT,40000,medical,Fully Paid
11875,60 months,12.69,B,RENT,25920,debt_consolidation,Charged Off
5000,36 months,6.03,A,MORTGAGE,54000,home_improvement,Fully Paid
1800,36 months,6.62,A,RENT,18000,small_business,Fully Paid
35000,36 months,8.9,A,RENT,85000,debt_consolidation,Fully Paid
18000,36 months,8.9,A,RENT,78000,credit_card,Fully Paid
14000,36 months,7.9,A,OWN,45600,debt_consolidation,Charged Off
5000,36 months,12.42,B,RENT,70000,debt_consolidation,Fully Paid
8000,36 months,15.96,C,RENT,70000,credit_card,Fully Paid
10000,36 months,6.03,A,MORTGAGE,80000,debt_consolidation,Fully Paid
10000,36 months,7.51,A,RENT,50000,debt_consolidation,Fully Paid
12000,36 months,12.42,B,MORTGAGE,35000,debt_consolidation,Fully Paid
23200,36 months,7.9,A,MORTGAGE,65000,debt_consolidation,Fully Paid
18000,60 months,15.27,C,MORTGAGE,84000,credit_card,Current
4800,36 months,15.27,C,MORTGAGE,75000,debt_consolidation,Fully Paid
7300,36 months,11.71,B,RENT,35000,debt_consolidation,Fully Paid
10400,36 months,9.91,B,RENT,40000,debt_consolidation,Fully Paid
6600,36 months,9.91,B,MORTGAGE,1.00E+05,house,Fully Paid
12000,36 months,8.9,A,OWN,40000,debt_consolidation,Fully Paid
13250,36 months,17.27,D,RENT,52000,debt_consolidation,Fully Paid
12000,36 months,11.71,B,RENT,92500,debt_consolidation,Fully Paid
25000,36 months,9.91,B,RENT,61000,debt_consolidation,Fully Paid
6000,36 months,10.65,B,RENT,36000,other,Fully Paid
12000,36 months,7.51,A,MORTGAGE,68000,credit_card,Fully Paid
14400,36 months,11.71,B,RENT,80000,credit_card,Fully Paid
10000,36 months,12.42,B,RENT,43000,credit_card,Fully Paid
8000,36 months,11.71,B,RENT,150000,credit_card,Fully Paid
8000,36 months,16.29,D,RENT,50000,credit_card,Charged Off
30000,60 months,12.42,B,RENT,70000,small_business,Charged Off
18000,60 months,16.77,D,OWN,40000,home_improvement,Charged Off
13250,36 months,11.71,B,OWN,35000,credit_card,Fully Paid
14000,36 months,14.27,C,RENT,80000,debt_consolidation,Fully Paid
20000,60 months,20.3,E,OWN,59000,debt_consolidation,Charged Off
10000,36 months,16.29,D,RENT,40000,credit_card,Fully Paid
35000,60 months,20.3,E,RENT,85000,debt_consolidation,Fully Paid
4000,36 months,6.03,A,RENT,55000,debt_consolidation,Fully Paid
13000,36 months,9.91,B,RENT,110000,debt_consolidation,Fully Paid
28000,36 months,12.69,B,RENT,1.00E+05,credit_card,Fully Paid
10000,36 months,13.49,C,RENT,62000,debt_consolidation,Fully Paid
20000,36 months,7.9,A,RENT,45000,debt_consolidation,Fully Paid
18000,36 months,9.91,B,RENT,110000,debt_consolidation,Fully Paid
9000,60 months,19.91,E,RENT,60000,credit_card,Charged Off
25000,60 months,18.64,E,RENT,61500,debt_consolidation,Charged Off
10000,36 months,11.71,B,RENT,33000,other,Fully Paid
4200,36 months,6.03,A,RENT,61000,credit_card,Fully Paid
20000,60 months,15.27,C,OWN,78216,debt_consolidation,Charged Off
18000,60 months,17.27,D,MORTGAGE,62000,debt_consolidation,Charged Off
24000,36 months,16.29,D,RENT,50964,debt_consolidation,Fully Paid
4475,36 months,15.27,C,RENT,43680,credit_card,Fully Paid
20000,60 months,14.65,C,MORTGAGE,56000,credit_card,Current
12000,36 months,12.42,B,RENT,50700,credit_card,Fully Paid
18000,60 months,17.58,D,MORTGAGE,60000,debt_consolidation,Fully Paid
5000,36 months,12.42,B,RENT,30000,debt_consolidation,Charged Off
3000,36 months,6.03,A,RENT,50000,other,Fully Paid
25000,60 months,19.03,E,RENT,75000,debt_consolidation,Fully Paid
18000,60 months,19.03,E,RENT,90000,credit_card,Current
12000,36 months,9.91,B,RENT,55000,debt_consolidation,Charged Off
20000,36 months,15.27,C,MORTGAGE,50000,other,Fully Paid
10000,36 months,13.49,C,RENT,84000,debt_consolidation,Fully Paid
15000,36 months,12.42,B,OWN,155000,debt_consolidation,Fully Paid
12000,36 months,7.9,A,MORTGAGE,62000,debt_consolidation,Fully Paid
20000,60 months,10.65,B,MORTGAGE,175000,debt_consolidation,Current
6300,36 months,11.71,B,RENT,30000,credit_card,Fully Paid
20000,60 months,16.77,D,RENT,50000,credit_card,Current
35000,60 months,17.27,D,MORTGAGE,208000,debt_consolidation,Fully Paid
8250,60 months,15.96,C,MORTGAGE,35004,home_improvement,Fully Paid
20000,60 months,12.69,B,OWN,85000,home_improvement,Current
10000,36 months,11.71,B,RENT,32000,credit_card,Charged Off
24000,36 months,8.9,A,MORTGAGE,116400,car,Charged Off
14400,36 months,12.69,B,MORTGAGE,40000,debt_consolidation,Fully Paid
6000,36 months,14.65,C,RENT,34000,credit_card,Fully Paid
22000,36 months,15.96,C,MORTGAGE,73000,debt_consolidation,Fully Paid
12000,36 months,11.71,B,RENT,57200,debt_consolidation,Charged Off
16000,36 months,16.77,D,MORTGAGE,114000,debt_consolidation,Fully Paid
10000,36 months,10.65,B,MORTGAGE,90000,debt_consolidation,Fully Paid
16000,60 months,19.03,E,MORTGAGE,54000,home_improvement,Fully Paid
10000,36 months,12.69,B,RENT,35000,debt_consolidation,Charged Off
3500,36 months,13.49,C,RENT,56000,debt_consolidation,Fully Paid
9600,36 months,9.91,B,RENT,35000,debt_consolidation,Fully Paid
9875,36 months,7.9,A,MORTGAGE,40000,debt_consolidation,Fully Paid
21500,60 months,17.58,D,OWN,59000,debt_consolidation,Fully Paid
4800,36 months,7.9,A,RENT,48000,debt_consolidation,Fully Paid
7800,36 months,6.03,A,OWN,85000,major_purchase,Fully Paid
20000,36 months,14.27,C,MORTGAGE,70000,credit_card,Fully Paid
9750,36 months,7.51,A,RENT,35000,debt_consolidation,Charged Off
18000,60 months,15.96,C,MORTGAGE,91000,credit_card,Fully Paid
5000,36 months,6.03,A,MORTGAGE,30000,other,Fully Paid
9000,36 months,14.65,C,RENT,45000,debt_consolidation,Fully Paid
7200,36 months,7.9,A,RENT,55000,debt_consolidation,Fully Paid
3000,60 months,19.03,E,RENT,53004,other,Current
25000,60 months,19.42,E,RENT,60000,credit_card,Charged Off
25000,36 months,15.27,C,OWN,82000,debt_consolidation,Fully Paid
10000,36 months,15.96,C,RENT,53000,debt_consolidation,Fully Paid
8875,36 months,12.69,B,MORTGAGE,35360,debt_consolidation,Charged Off
15550,36 months,11.71,B,RENT,54000,debt_consolidation,Fully Paid
17000,60 months,15.27,C,RENT,65000,debt_consolidation,Current
7500,36 months,12.69,B,RENT,65000,credit_card,Fully Paid
8875,36 months,8.9,A,OWN,28800,debt_consolidation,Fully Paid
4500,36 months,17.27,D,RENT,42000,credit_card,Fully Paid
5800,36 months,12.42,B,RENT,36000,debt_consolidation,Fully Paid
10000,36 months,11.71,B,RENT,40000,debt_consolidation,Fully Paid
10000,36 months,9.91,B,RENT,50000,credit_card,Fully Paid
14000,36 months,11.71,B,RENT,52000,credit_card,Fully Paid
25000,60 months,19.03,E,MORTGAGE,85000,credit_card,Fully Paid
12000,36 months,8.9,A,RENT,32000,debt_consolidation,Charged Off
24000,36 months,7.9,A,OWN,75000,debt_consolidation,Fully Paid
14000,36 months,14.27,C,RENT,80000,credit_card,Fully Paid
12000,36 months,8.9,A,MORTGAGE,40246,credit_card,Fully Paid
15000,60 months,12.69,B,OWN,30000,debt_consolidation,Charged Off
8050,36 months,12.69,B,RENT,36000,debt_consolidation,Charged Off
5600,36 months,10.65,B,RENT,60000,debt_consolidation,Fully Paid
7500,36 months,9.91,B,RENT,31200,credit_card,Fully Paid
7000,36 months,11.71,B,RENT,90000,credit_card,Fully Paid
5400,36 months,7.9,A,RENT,40000,debt_consolidation,Fully Paid
16000,36 months,12.42,B,RENT,90000,credit_card,Fully Paid
35000,60 months,12.42,B,MORTGAGE,105000,home_improvement,Fully Paid
6000,60 months,7.9,A,RENT,30084,debt_consolidation,Charged Off
4125,60 months,12.69,B,MORTGAGE,36000,car,Fully Paid
9800,36 months,16.29,D,RENT,67000,credit_card,Fully Paid
15700,60 months,18.25,D,MORTGAGE,63000,debt_consolidation,Fully Paid
5000,36 months,6.62,A,RENT,276000,debt_consolidation,Fully Paid
9900,36 months,11.71,B,RENT,26400,debt_consolidation,Fully Paid
4000,36 months,11.71,B,RENT,24000,home_improvement,Fully Paid
15000,36 months,11.71,B,MORTGAGE,68400,debt_consolidation,Fully Paid
6250,36 months,15.96,C,RENT,29120,debt_consolidation,Fully Paid
6400,36 months,16.29,D,RENT,29120,debt_consolidation,Fully Paid
8850,60 months,13.49,C,MORTGAGE,89122,major_purchase,Fully Paid
12000,36 months,15.27,C,MORTGAGE,54000,debt_consolidation,Fully Paid
15000,36 months,8.9,A,MORTGAGE,30000,debt_consolidation,Fully Paid
6500,36 months,14.27,C,MORTGAGE,30000,credit_card,Fully Paid
8000,36 months,15.96,C,RENT,50000,credit_card,Fully Paid
30000,60 months,21.28,F,MORTGAGE,92000,home_improvement,Fully Paid
15000,36 months,14.65,C,MORTGAGE,100500,credit_card,Fully Paid
10200,36 months,14.27,C,RENT,40000,debt_consolidation,Fully Paid
